country,date,new_tests,tests_cumulative,jhu_ID,source,country_name_id
Serbia,2020-04-01,810,4371,Serbia,https://www.zdravlje.gov.rs/vest/346862/informacije-o-novom-korona-virusu-0104-u-15-casova.php,Serbia
Serbia,2020-04-02,637,5008,Serbia,https://www.zdravlje.gov.rs/vest/346881/informacije-o-novom-korona-virusu-na-dan-0204-godine-u-15-casova.php,Serbia
Serbia,2020-04-03,748,5756,Serbia,https://www.zdravlje.gov.rs/vest/346894/informacije-o-novom-korona-virusu-na-dan-0304-godine-u-15-casova.php,Serbia
Serbia,2020-04-04,645,6401,Serbia,https://www.zdravlje.gov.rs/vest/346897/informacija-o-novom-korona-virusu-na-dan-0404-godine-u-15-casova.php,Serbia
Serbia,2020-04-05,959,7360,Serbia,https://www.zdravlje.gov.rs/vest/346900/informacija-o-novom-korona-virusu-na-dan-0504-godine-u-15-casova.php,Serbia
Serbia,2020-04-06,1192,8552,Serbia,https://www.zdravlje.gov.rs/vest/346913/informacija-o-novom-korona-virusu-na-dan-0604-godine-u-15-casova.php,Serbia
Serbia,2020-04-07,1074,9626,Serbia,https://www.zdravlje.gov.rs/vest/346933/informacija-o-novom-korona-virusu-na-dan-0704-godine-u-15-casova.php,Serbia
Serbia,2020-04-08,1135,10761,Serbia,https://www.zdravlje.gov.rs/vest/346933/informacija-o-novom-korona-virusu-na-dan-0704-godine-u-15-casova.php,Serbia
Serbia,2020-04-09,1586,12347,Serbia,https://www.zdravlje.gov.rs/vest/347000/informacija-o-novom-korona-virusu-na-dan-0904-godine-u-15-casova.php,Serbia
Serbia,2020-04-10,1893,14240,Serbia,https://www.zdravlje.gov.rs/vest/347006/informacija-o-novom-korona-virusu-na-dan-1004-godine-u-15-casova.php,Serbia
Serbia,2020-04-11,2159,16399,Serbia,https://www.zdravlje.gov.rs/vest/347019/informacija-o-novom-korona-virusu-na-dan-1104-godine-u-15-casova.php,Serbia
Serbia,2020-04-12,1913,18312,Serbia,https://www.zdravlje.gov.rs/vest/347021/informacija-o-novom-korona-virusu-na-dan-1204-godine-u-15-casova.php,Serbia
Serbia,2020-04-13,2646,20958,Serbia,https://www.zdravlje.gov.rs/vest/347023/informacija-o-novom-korona-virusu-na-dan-1304-godine-u-15-casova.php,Serbia
Serbia,2020-04-14,2440,23398,Serbia,https://www.zdravlje.gov.rs/vest/347042/informacija-o-novom-korona-virusu-na-dan-1404-godine-u-15-casova.php,Serbia
Serbia,2020-04-15,2880,26278,Serbia,https://www.zdravlje.gov.rs/vest/347069/informacija-o-novom-korona-virusu-na-dan-1504-godine-u-15-casova.php,Serbia
Serbia,2020-04-16,3194,29472,Serbia,https://www.zdravlje.gov.rs/vest/347076/informacija-o-novom-korona-virusu-na-dan-1604-godine-u-15-casova.php,Serbia
Serbia,2020-04-17,3094,32566,Serbia,https://www.zdravlje.gov.rs/vest/347087/informacija-o-novom-korona-virusu-na-dan-1704-godine-u-15-casova.php,Serbia
Serbia,2020-04-18,3462,36028,Serbia,https://www.zdravlje.gov.rs/vest/347089/informacija-o-novom-korona-virusu-na-dan-1804-godine-u-15-casova.php,Serbia
Serbia,2020-04-19,2673,38701,Serbia,https://www.zdravlje.gov.rs/vest/347091/informacija-o-novom-korona-virusu-na-dan-1904-godine-u-15-casova-.php,Serbia
Serbia,2020-04-20,3111,41812,Serbia,https://www.zdravlje.gov.rs/vest/347093/informacija-o-novom-korona-virusu-na-dan-2004-godine-u-15-casova.php,Serbia
Serbia,2020-04-21,3543,45355,Serbia,https://www.zdravlje.gov.rs/vest/347104/informacija-o-novom-korona-virusu-na-dan-2104-godine-u-15-casova.php,Serbia
Serbia,2020-04-22,3281,48636,Serbia,https://www.zdravlje.gov.rs/vest/347127/informacija-o-novom-korona-virusu-na-dan-2204-godine-u-15-casova.php,Serbia
Serbia,2020-04-23,2688,51324,Serbia,https://www.zdravlje.gov.rs/vest/347144/informacija-o-novom-korona-virusu-na-dan-2304-godine-u-15-casova.php,Serbia
Serbia,2020-04-24,3563,54887,Serbia,https://www.zdravlje.gov.rs/vest/347144/informacija-o-novom-korona-virusu-na-dan-2304-godine-u-15-casova.php,Serbia
Serbia,2020-04-25,5051,59938,Serbia,https://www.zdravlje.gov.rs/vest/347162/informacija-o-novom-korona-virusu-na-dan-2504-godine-u-15-casova.php,Serbia
Serbia,2020-04-26,4365,64303,Serbia,https://www.zdravlje.gov.rs/vest/347164/informacija-o-novom-korona-virusu-na-dan-2604-godine-u-15-casova.php,Serbia
Serbia,2020-04-27,3614,67917,Serbia,https://www.zdravlje.gov.rs/vest/347166/informacija-o-novom-korona-virusu-na-dan-27042020-godine-u-1500-casova.php,Serbia
Serbia,2020-04-28,5446,73363,Serbia,https://www.zdravlje.gov.rs/vest/347191/informacija-o-novom-korona-virusu-na-dan-28042020-godine-u-15-casova.php,Serbia
Serbia,2020-04-29,5579,78942,Serbia,https://www.zdravlje.gov.rs/vest/347220/informacija-o-novom-koron,Serbia
Serbia,2020-04-30,6703,85645,Serbia,https://www.zdravlje.gov.rs/vest/347220/informacija-o-novom-koron,Serbia
Serbia,2020-05-01,5906,91551,Serbia,https://www.zdravlje.gov.rs/vest/347238/informacija-o-novom-korona-virusu-na-dan-1052020-godine-u-15-casova.php,Serbia
Serbia,2020-05-02,5086,96637,Serbia,https://www.zdravlje.gov.rs/vest/347240/informacija-o-novom-korona-virusu-na-dan-2maj-2020-godine-u-15-casova.php,Serbia
Serbia,2020-05-03,5274,101911,Serbia,https://www.zdravlje.gov.rs/vest/347243/informacija-o-novom-korona-virusu-na-dan-0305-2020godine-u-1500-casova.php,Serbia
